date,Outflows_cmd
4/14/2010,6123778.592
4/15/2010,7745858.179
4/16/2010,7895099.288
4/17/2010,6167327.637
4/18/2010,4317716.524
4/19/2010,1727282.336
4/20/2010,1524216.565
4/21/2010,2116287.848
4/22/2010,3246605.75
4/23/2010,4922509.999
4/24/2010,5480671.745
4/25/2010,5196526.46
4/26/2010,1558468.623
4/27/2010,0
4/28/2010,606750.7355
4/29/2010,1989065.919
4/30/2010,2067356.337
5/1/2010,1861843.991
5/2/2010,1688137.127
5/3/2010,11449606.57
5/4/2010,15636039.85
5/5/2010,16757256.49
5/6/2010,16084864.13
5/7/2010,15611256.04
5/8/2010,15561786.28
5/9/2010,15193919.18
5/10/2010,16326781.52
5/11/2010,19333402.68
5/12/2010,21648107.81
5/13/2010,26102465.57
5/14/2010,26604625.2
5/15/2010,22873352.84
5/16/2010,18767754.42
5/17/2010,15836683.51
5/18/2010,12692833.93
5/19/2010,10731145.2
5/20/2010,9601169.814
5/21/2010,8938955.21
5/22/2010,11646213.38
5/23/2010,13841574.55
5/24/2010,15610350.81
5/25/2010,16310218.21
5/26/2010,17584174.56
5/27/2010,19763339.4
5/28/2010,17548870.48
5/29/2010,7994381.323
5/30/2010,4633814.085
5/31/2010,3704115.377
6/1/2010,5287049.756
6/2/2010,5233225.094
6/3/2010,5825296.376
6/4/2010,3992811.291
6/5/2010,3828890.73
6/6/2010,5083983.985
6/7/2010,5695627.872
6/8/2010,4739016.833
6/9/2010,4545737.365
6/10/2010,5831657.473
6/11/2010,7670014.338
6/12/2010,13768079.42
6/13/2010,13959523.96
6/14/2010,11553365.84
6/15/2010,12885183.7
6/16/2010,12915521.24
6/17/2010,11909073.46
6/18/2010,9662211.874
6/19/2010,5942732.001
6/20/2010,5495008.677
6/21/2010,7207611.559
6/22/2010,10035852.89
6/23/2010,11421006.1
6/24/2010,13062829.55
6/25/2010,13362779.72
6/26/2010,13123357.83
6/27/2010,12564070.66
6/28/2010,11498317.89
6/29/2010,14387111.97
6/30/2010,13642521.16
7/1/2010,5885702.326
7/2/2010,2657861.81
7/3/2010,2227240.049
7/4/2010,617956.0515
7/5/2010,503994.5625
7/6/2010,256890.4324
7/7/2010,413471.2673
7/8/2010,983523.3696
7/9/2010,1135211.053
7/10/2010,1607400.134
7/11/2010,9736612.236
7/12/2010,11807932.03
7/13/2010,12500508.63
7/14/2010,13426488.54
7/15/2010,13479456.9
7/16/2010,14220035.32
7/17/2010,13972221.68
7/18/2010,14879632.09
7/19/2010,16331919.33
7/20/2010,17271649
7/21/2010,19279015.3
7/22/2010,16362819.58
7/23/2010,8323812.721
7/24/2010,6193921.913
7/25/2010,6560247.67
7/26/2010,7668057.077
7/27/2010,8230182.274
7/28/2010,7766776.4
7/29/2010,8811806.679
7/30/2010,9701870.863
7/31/2010,8621805.623
8/1/2010,8819121.94
8/2/2010,8583418.852
8/3/2010,8179366.9
8/4/2010,8435547.826
8/5/2010,5931184.165
8/6/2010,4293740.084
8/7/2010,2154943.741
8/8/2010,1489964.508
8/9/2010,1154783.658
8/10/2010,775564.4482
8/11/2010,736419.2394
8/12/2010,797583.6281
8/13/2010,687732.386
8/14/2010,711953.484
8/15/2010,1144018.725
8/16/2010,1346081.4
8/17/2010,1078939.816
8/18/2010,550479.4979
8/19/2010,1037152.306
8/20/2010,1245306.953
8/21/2010,714400.0595
8/22/2010,508887.7136
8/23/2010,352306.8787
8/24/2010,397299.403
8/25/2010,623876.7643
8/26/2010,976183.643
8/27/2010,971290.4918
8/28/2010,1299131.615
8/29/2010,1381825.868
8/30/2010,670361.6997
8/31/2010,401238.3896
9/1/2010,503015.9323
9/2/2010,719293.2106
9/3/2010,1360296.004
9/4/2010,1909552.214
9/5/2010,1731686.172
9/6/2010,1181695.989
9/7/2010,322947.9721
9/8/2010,276463.0367
9/9/2010,0
9/10/2010,0
9/11/2010,530906.8935
9/12/2010,579838.4045
9/13/2010,913795.9665
9/14/2010,1022668.578
9/15/2010,2156313.823
9/16/2010,2480827.604
9/17/2010,1759087.818
9/18/2010,2091822.092
9/19/2010,2712273.651
9/20/2010,1873098.238
9/21/2010,2011501.017
9/22/2010,2457364.944
9/23/2010,1393398.171
9/24/2010,222638.3747
9/25/2010,692380.8796
9/26/2010,897893.2255
9/27/2010,570052.1023
9/28/2010,107649.324
9/29/2010,41591.78429
9/30/2010,0
10/1/2010,0
10/2/2010,1047623.649
10/3/2010,31805.4821
10/4/2010,587178.1311
10/5/2010,1975585.288
10/6/2010,3458283.466
10/7/2010,3075516.722
10/8/2010,3057069.542
10/9/2010,3394843.762
10/10/2010,4624296.906
10/11/2010,5934095.59
10/12/2010,5691052.776
10/13/2010,3693203.65
10/14/2010,3222139.994
10/15/2010,1733472.172
10/16/2010,2839789.168
10/17/2010,2314289.207
10/18/2010,2610838.628
10/19/2010,4111445.74
10/20/2010,4250386.765
10/21/2010,2791762.89
10/22/2010,4113427.466
10/23/2010,4482860.373
10/24/2010,4058134.859
10/25/2010,3192487.499
10/26/2010,3874078.98
10/27/2010,4322732.004
10/28/2010,4120277.877
10/29/2010,5797136.291
10/30/2010,7150728.678
10/31/2010,6198717.201
11/1/2010,4835240.649
11/2/2010,2646118.248
11/3/2010,1184729.743
11/4/2010,253954.5417
11/5/2010,232424.6769
11/6/2010,1464324.396
11/7/2010,3037350.144
11/8/2010,2627573.205
11/9/2010,2105253.792
11/10/2010,1794147.245
11/11/2010,2892586.268
11/12/2010,4282192.247
11/13/2010,5950389.783
11/14/2010,4172169.745
11/15/2010,4114136.973
11/16/2010,4140413.194
11/17/2010,3727039.79
11/18/2010,4813148.072
11/19/2010,5734357.163
11/20/2010,6743055.795
11/21/2010,5475680.73
11/22/2010,4063174.804
11/23/2010,4286547.152
11/24/2010,4247622.135
11/25/2010,3151874.345
11/26/2010,4042941.624
11/27/2010,5705952.421
11/28/2010,6537054.133
11/29/2010,3894214.297
11/30/2010,3398097.708
12/1/2010,4797734.646
12/2/2010,2487775.878
12/3/2010,4952529.481
12/4/2010,8192945.395
12/5/2010,5993620.773
12/6/2010,7490411.227
12/7/2010,11639999.08
12/8/2010,9864690.465
12/9/2010,4483667.743
12/10/2010,4764656.945
12/11/2010,4496047.416
12/12/2010,5271293.809
12/13/2010,10293746.42
12/14/2010,12185927.95
12/15/2010,7791560.21
12/16/2010,2150368.645
12/17/2010,1168900.399
12/18/2010,735685.2668
12/19/2010,420810.994
12/20/2010,433043.8717
12/21/2010,816153.1365
12/22/2010,1005053.234
12/23/2010,641002.7931
12/24/2010,540693.1957
12/25/2010,817156.2325
12/26/2010,3534665.555
12/27/2010,4800303.551
12/28/2010,5923281.726
12/29/2010,4445990.48
12/30/2010,2508278.182
12/31/2010,1330790.303
1/1/2011,1587851.995
1/2/2011,1457082.532
1/3/2011,3213112.131
1/4/2011,4601421.424
1/5/2011,3030352.937
1/6/2011,1057165.294
1/7/2011,0
1/8/2011,222638.3747
1/9/2011,261049.6108
1/10/2011,261783.5834
1/11/2011,552926.0735
1/12/2011,634005.5871
1/13/2011,596964.4333
1/14/2011,617271.0103
1/15/2011,890015.2522
1/16/2011,484421.9582
1/17/2011,347413.7276
1/18/2011,315608.2455
1/19/2011,298482.2166
1/20/2011,288695.9145
1/21/2011,442830.1739
1/22/2011,741312.3905
1/23/2011,423257.5695
1/24/2011,425704.145
1/25/2011,322947.9721
1/26/2011,11988.22018
1/27/2011,92969.87076
1/28/2011,146794.5328
1/29/2011,225084.9503
1/30/2011,247104.1302
