date,INDUST_cms,INDUST_cmd
5/7/2009,3.737823751,322947.9721
5/8/2009,4.870497615,420810.994
5/9/2009,4.445744916,384112.3608
5/10/2009,4.445744916,384112.3608
5/11/2009,5.380200854,464849.3538
5/12/2009,5.380200854,464849.3538
5/13/2009,3.228120512,278909.6123
5/14/2009,3.369704745,291142.49
5/15/2009,3.256437359,281356.1878
5/16/2009,2.633466734,227531.5258
5/17/2009,1.670693949,144347.9572
5/18/2009,0.651287472,56271.23756
5/19/2009,0,0
5/20/2009,0,0
5/21/2009,0,0
5/22/2009,0,0
5/23/2009,0,0
5/24/2009,0,0
5/25/2009,0,0
5/26/2009,0,0
5/27/2009,0,0
5/28/2009,0,0
5/29/2009,0,0
5/30/2009,0,0
5/31/2009,0,0
6/1/2009,0,0
6/2/2009,0,0
6/3/2009,0,0
6/4/2009,0,0
6/5/2009,0,0
6/6/2009,0,0
6/7/2009,0,0
6/8/2009,0,0
6/9/2009,0,0
6/10/2009,0,0
6/11/2009,0,0
6/12/2009,0,0
6/13/2009,0,0
6/14/2009,0,0
6/15/2009,0,0
6/16/2009,0,0
6/17/2009,0,0
6/18/2009,0,0
6/19/2009,0,0
6/20/2009,0,0
6/21/2009,0,0
6/22/2009,0,0
6/23/2009,0,0
6/24/2009,0,0
6/25/2009,0,0
6/26/2009,0,0
6/27/2009,0,0
6/28/2009,0,0
6/29/2009,0,0
6/30/2009,0,0
7/1/2009,0,0
7/2/2009,0,0
7/3/2009,0,0
7/4/2009,0,0
7/5/2009,0,0
7/6/2009,0,0
7/7/2009,0.150079287,12966.8504
7/8/2009,0.368119006,31805.4821
7/9/2009,0.008211886,709.5069084
7/10/2009,0.001699011,146.7945328
7/11/2009,0,0
7/12/2009,0,0
7/13/2009,0.201049611,17370.68638
7/14/2009,0,0
7/15/2009,0,0
7/16/2009,0,0
7/17/2009,0.243524881,21040.5497
7/18/2009,0.101940648,8807.671966
7/19/2009,0,0
7/20/2009,0,0
7/21/2009,0,0
7/22/2009,0.070792117,6116.438866
7/23/2009,0.283168466,24465.75546
7/24/2009,1.359208637,117435.6262
7/25/2009,1.274258097,110095.8996
7/26/2009,0,0
7/27/2009,0,0
7/28/2009,0,0
7/29/2009,0.707921165,61164.38866
