date,Outflows_acft,LO_Outflows_cmd
5/27/2009,0,0
5/28/2009,0,0
5/29/2009,0,0
5/30/2009,0,0
5/31/2009,0,0
6/1/2009,65.5141472,80810.39029
6/2/2009,113.8315746,140408.9706
6/3/2009,50.97528257,62876.99154
6/4/2009,0,0
6/5/2009,0,0
6/6/2009,0,0
6/7/2009,0,0
6/8/2009,0,0
6/9/2009,0,0
6/10/2009,0,0
6/11/2009,0,0
6/12/2009,0,0
6/13/2009,0,0
6/14/2009,0,0
6/15/2009,0,0
6/16/2009,0,0
6/17/2009,32.50913935,40099.3732
6/18/2009,0,0
6/19/2009,10.51241236,12966.8504
6/20/2009,77.35548716,95416.4463
6/21/2009,0,0
6/22/2009,0,0
6/23/2009,0,0
6/24/2009,0,0
6/25/2009,0,0
6/26/2009,0,0
6/27/2009,0,0
6/28/2009,0,0
6/29/2009,0,0
6/30/2009,0,0
7/1/2009,0,0
7/2/2009,0,0
7/3/2009,0,0
7/4/2009,0,0
7/5/2009,0,0
7/6/2009,0,0
7/7/2009,10.51239506,12966.82906
7/8/2009,25.78511995,31805.42976
7/9/2009,0.575206522,709.5057408
7/10/2009,59.62322914,73544.06068
7/11/2009,0,0
7/12/2009,0,0
7/13/2009,14.08264244,17370.65779
7/14/2009,0,0
7/15/2009,103.1406495,127221.9284
7/16/2009,37.68600657,46484.93538
7/17/2009,155.9010307,192300.8033
7/18/2009,324.2583226,399966.1558
7/19/2009,156.6944484,193279.4682
7/20/2009,111.4712405,137497.5457
7/21/2009,341.1575331,420810.994
7/22/2009,336.1988399,414694.545
7/23/2009,287.6037017,354753.4139
7/24/2009,563.3064678,694827.2619
7/25/2009,877.3895902,1082242.512
7/26/2009,265.78552,327841.1232
7/27/2009,293.5541564,362093.1808
7/28/2009,1558.752736,1922690.325
7/29/2009,2094.151799,2583094.361
7/30/2009,2490.251639,3071675.592
7/31/2009,3635.705941,4484570.565
8/1/2009,3359.407974,4143762.548
8/2/2009,1831.538749,2259166.416
8/3/2009,2515.122848,3102353.731
8/4/2009,2333.258709,2878027.952
8/5/2009,1101.502295,1358681.05
8/6/2009,526.4535627,649369.9406
8/7/2009,328.4037951,405079.5132
8/8/2009,383.7625553,473363.4367
8/9/2009,388.7609098,479528.8071
8/10/2009,374.8765916,462402.7782
8/11/2009,444.2981827,548032.9224
8/12/2009,138.8431821,171260.2882
8/13/2009,130.909286,161473.9861
8/14/2009,198.347403,244657.5546
8/15/2009,43.63642865,53824.66202
8/16/2009,216.1986692,266676.7345
8/17/2009,198.347403,244657.5546
8/18/2009,81.32243522,100309.5974
8/19/2009,212.2317212,261783.5834
8/20/2009,705.938193,870760.6423
8/21/2009,267.768994,330287.6987
8/22/2009,309.4219486,381665.7852
8/23/2009,436.5427992,538466.812
8/24/2009,607.3000784,749092.5007
8/25/2009,569.2570465,702167.1818
8/26/2009,572.6289524,706326.3602
8/27/2009,481.389147,593783.8851
8/28/2009,565.2900201,697273.934
8/29/2009,521.4552999,643204.6833
8/30/2009,499.8354555,616537.0377
8/31/2009,353.0583773,435490.4472
9/1/2009,331.240163,408578.1162
9/2/2009,453.818858,559776.485
9/3/2009,589.4488122,727073.3208
9/4/2009,480.0007152,592071.2822
9/5/2009,587.1083128,724186.3617
9/6/2009,0,0
9/7/2009,124.1654743,153155.6292
9/8/2009,81.32243522,100309.5974
9/9/2009,305.4550006,376772.6341
9/10/2009,394.7113319,486868.5337
9/11/2009,404.6287021,499101.4114
9/12/2009,444.2981827,548032.9224
9/13/2009,200.330877,247104.1302
9/14/2009,285.6202603,352306.8787
9/15/2009,309.4219486,381665.7852
9/16/2009,339.0550476,418217.6201
9/17/2009,403.2402703,497388.8086
9/18/2009,488.9263239,603080.842
9/19/2009,836.5301264,1031843.18
9/20/2009,495.8684748,611643.8463
9/21/2009,753.7199518,929698.4861
9/22/2009,674.3810167,831835.4965
9/23/2009,501.8189034,618983.581
9/24/2009,634.7116536,782904.1305
9/25/2009,690.0506088,851163.6249
9/26/2009,608.926377,751098.5075
9/27/2009,547.4387735,675254.7783
9/28/2009,591.0752609,729079.5128
9/29/2009,556.1661101,686019.7735
9/30/2009,656.5297406,809816.3045
10/1/2009,805.2902961,993309.4745
10/2/2009,725.9513121,895446.4245
10/3/2009,708.1000948,873427.3049
10/4/2009,641.4554392,791222.4552
10/5/2009,1077.105463,1328588.046
10/6/2009,608.133116,750120.0359
10/7/2009,277.6863642,342520.5765
10/8/2009,355.0418089,437936.9704
10/9/2009,481.9840978,594517.745
10/10/2009,493.8848833,609197.1258
10/11/2009,446.2815686,550479.3892
10/12/2009,640.6619158,790243.6599
10/13/2009,480.0004606,592070.9681
10/14/2009,704.1328203,868533.7512
10/15/2009,1394.380692,1719940.697
10/16/2009,1848.180542,2279693.734
10/17/2009,799.9945217,986777.2426
