date,NH4_Load_mg
12/6/2017,874602930.5
12/7/2017,1265515559
12/8/2017,1038506635
12/9/2017,2671480981
12/10/2017,2534405805
12/11/2017,1744558694
12/12/2017,1716731094
12/13/2017,1783398523
12/14/2017,1749896983
12/15/2017,1069486809
12/16/2017,1005653268
12/17/2017,1290400183
12/18/2017,1568577098
12/19/2017,1044162686
12/20/2017,775376040.8
12/21/2017,1302838843
12/22/2017,1362803411
12/23/2017,1074677970
12/24/2017,981325848.9
12/25/2017,925401731.8
12/26/2017,1182901252
12/27/2017,655479998.2
12/28/2017,1000713583
12/29/2017,646483739.2
12/30/2017,1004140427
12/31/2017,759928628.7
1/1/2018,1087811024
1/2/2018,758518257.8
1/3/2018,937401594.7
1/4/2018,681081086
1/5/2018,1285656672
1/6/2018,897462581.2
1/7/2018,706590938.1
1/8/2018,701141059.7
1/9/2018,730282950.3
1/10/2018,584281769.5
1/11/2018,791024379.9
1/12/2018,743503429.4
1/13/2018,1144044248
1/14/2018,1193345248
1/15/2018,902339913.7
1/16/2018,1002242926
1/17/2018,551280450.2
1/18/2018,384950807.8
1/19/2018,379937351.1
1/20/2018,786338154.3
1/21/2018,610323503.5
1/22/2018,313998116.5
1/23/2018,433553749.3
1/24/2018,484368502.3
1/25/2018,512022962.5
1/26/2018,519761992.8
1/27/2018,280594625.3
1/28/2018,368091928.1
1/29/2018,610847703.7
1/30/2018,1268576638
1/31/2018,756935040.4
2/1/2018,972951746.3
2/2/2018,774600077.8
2/3/2018,788591917.6
2/4/2018,832450048.8
2/5/2018,1186332151
2/6/2018,974868014.1
2/7/2018,641240753.9
2/8/2018,777490951.7
2/9/2018,940687480.4
2/10/2018,270945323.8
2/11/2018,579037535.3
2/12/2018,513350805.6
2/13/2018,292914790.2
2/14/2018,307462480.5
2/15/2018,319031854.8
2/16/2018,341670978.6
2/17/2018,328625132.7
2/18/2018,359891739.9
2/19/2018,356121891.2
2/20/2018,355844612.9
2/21/2018,379320349.4
2/22/2018,406386968.4
2/23/2018,361447928.9
2/24/2018,353003310.4
2/25/2018,336388083.7
2/26/2018,273446470.2
2/27/2018,349546308.7
2/28/2018,792497952.5
3/1/2018,1213504863
3/2/2018,550815049.1
3/3/2018,1064578661
3/4/2018,1201437393
3/5/2018,193663017.8
3/6/2018,204240359
3/7/2018,232803259.1
3/8/2018,166260641.2
3/9/2018,149868453.1
3/10/2018,452926876.5
3/11/2018,172589207.8
3/12/2018,170824797.8
3/13/2018,132467791.8
3/14/2018,125145243.6
3/15/2018,115420067.4
3/16/2018,79380660.47
3/17/2018,689961293.1
3/18/2018,293550430.6
3/19/2018,144212416.9
3/20/2018,445343079.4
3/21/2018,173288310.6
3/22/2018,46188109.84
3/23/2018,393383826.5
3/24/2018,518872286.2
3/25/2018,497565405.7
3/26/2018,294201785.8
3/27/2018,383619075.1
3/28/2018,265838992
3/29/2018,356710632.4
3/30/2018,229074902.5
3/31/2018,156700692.7
4/1/2018,19131546.22
4/2/2018,17059530.9
4/3/2018,158325239.8
4/4/2018,96547014.08
4/5/2018,139087232.6
4/6/2018,86397538.72
4/7/2018,203344484.2
4/8/2018,181359316.9
4/9/2018,54323592.17
4/10/2018,357714636
4/11/2018,102276410
4/12/2018,79985969.48
4/13/2018,34275897.78
4/14/2018,115800712.6
4/15/2018,197688043.5
4/16/2018,89781469.04
4/17/2018,114253330.4
4/18/2018,127498651.8
4/19/2018,149761435.5
4/20/2018,146029586.4
4/21/2018,125320474.3
4/22/2018,52980588.21
4/23/2018,156224491.2
4/24/2018,445925070.9
4/25/2018,448487736.5
4/26/2018,319717931.4
4/27/2018,125949576.3
4/28/2018,283007783.6
4/29/2018,94377899.45
4/30/2018,81763062.34
5/1/2018,25444770.14
5/2/2018,33356474.69
5/3/2018,13866627.48
5/4/2018,15644728.69
5/5/2018,12213409.98
5/6/2018,27425388.39
5/7/2018,158593510.3
5/8/2018,164017987.7
5/9/2018,7403868.859
5/10/2018,38169400.12
5/11/2018,10400812.06
5/12/2018,17595163.18
5/13/2018,43128264.49
5/14/2018,896180780.3
5/15/2018,1896802445
5/16/2018,1725974022
5/17/2018,2289722373
5/18/2018,3189374166
5/19/2018,2315534719
5/20/2018,2308561517
5/21/2018,3919750895
5/22/2018,3005295891
5/23/2018,2157830744
5/24/2018,1777438551
5/25/2018,1433699207
5/26/2018,1974721155
5/27/2018,2310725940
5/28/2018,3373591967
5/29/2018,2562681184
5/30/2018,1793385880
5/31/2018,1821789466
6/1/2018,1854173032
6/2/2018,1932886725
6/3/2018,1355429999
6/4/2018,1317686106
6/5/2018,377128514.4
6/6/2018,415495673.8
6/7/2018,536387969
6/8/2018,819418095.1
6/9/2018,745749396.6
6/10/2018,542357194.2
6/11/2018,598423904
6/12/2018,807899581.4
6/13/2018,744120086.5
6/14/2018,771380363
6/15/2018,627378118
6/16/2018,729596400.7
6/17/2018,578624580.2
6/18/2018,514153506.7
6/19/2018,452559279.5
6/20/2018,355496816.5
6/21/2018,427199189.7
6/22/2018,991127373.4
6/23/2018,964971019.6
6/24/2018,1464510806
6/25/2018,1594547850
6/26/2018,1218533216
6/27/2018,1184514810
6/28/2018,1072403197
6/29/2018,1188944780
6/30/2018,839900078.6
7/1/2018,867943299.5
7/2/2018,822931386
7/3/2018,535602555.5
7/4/2018,607752547.4
7/5/2018,667331601.4
7/6/2018,619155485.5
7/7/2018,1140902811
7/8/2018,851300186.7
7/9/2018,647346395.2
7/10/2018,571995431.4
7/11/2018,502959329
7/12/2018,512185079.4
7/13/2018,876797952.4
7/14/2018,1103090075
7/15/2018,767762773.6
7/16/2018,621072027.9
7/17/2018,653160916.5
7/18/2018,556787460.5
7/19/2018,600421372.1
7/20/2018,465445580.7
7/21/2018,465480968.3
7/22/2018,752254465.3
