date,Inflows_cmd
2017-11-01,24850626.261579018
2017-11-02,21515625.737232875
2017-11-03,19179366.282372847
2017-11-04,17666697.553643588
2017-11-05,15145574.850509645
2017-11-06,13594617.214481726
2017-11-07,12258517.842924602
2017-11-08,10780859.610262029
2017-11-09,10414827.442789061
2017-11-10,9818743.77670315
2017-11-11,10291446.637992168
2017-11-12,9099059.11402118
2017-11-13,12341089.767610205
2017-11-14,12929956.035834705
2017-11-15,11024636.397689385
2017-11-16,9859307.999259805
2017-11-17,8767181.141173728
2017-11-18,7944250.990440429
2017-11-19,7320154.034350073
2017-11-20,7052572.066857813
2017-11-21,7063655.054082282
2017-11-22,7439351.194962895
2017-11-23,6843952.570029929
2017-11-24,7992154.939635817
2017-11-25,6218950.380987458
2017-11-26,5651026.7994387625
2017-11-27,5043321.899508213
2017-11-28,5027590.418745896
2017-11-29,4804242.53712963
2017-11-30,5622157.207993129
2017-12-01,3781182.5067139203
2017-12-02,3723002.940224331
2017-12-03,2972980.740768995
2017-12-04,3335343.044922607
2017-12-05,3012125.9495088425
2017-12-06,2995513.7015498625
2017-12-07,5355822.994029449
2017-12-08,4698844.062597616
2017-12-09,8132930.896566472
2017-12-10,7165628.322849562
2017-12-11,5284970.166210339
2017-12-12,3737657.92774631
2017-12-13,3844377.5530733
2017-12-14,4146431.7700120877
2017-12-15,3023013.2106896057
2017-12-16,2881429.883828701
2017-12-17,2834406.7018299685
2017-12-18,4207938.679244559
2017-12-19,2723381.103541596
2017-12-20,2538053.0059139184
2017-12-21,3309238.0838442263
2017-12-22,3040848.746421694
2017-12-23,3303390.7682887134
2017-12-24,3065657.022460572
2017-12-25,2815763.7961676116
2017-12-26,4217088.871787494
2017-12-27,3159360.86588157
2017-12-28,3839068.4841379575
2017-12-29,3360762.964848036
2017-12-30,3044983.459094843
2017-12-31,2644454.576419893
2018-01-01,2756972.5857914686
2018-01-02,2807323.1105330857
2018-01-03,4074306.722908937
2018-01-04,2930092.271443416
2018-01-05,3081486.3662447445
2018-01-06,2700407.7591624046
2018-01-07,2429865.4352591787
2018-01-08,2265724.681861938
2018-01-09,2075772.556451868
2018-01-10,2109975.6825882983
2018-01-11,3509270.100504805
2018-01-12,2767541.7921512276
2018-01-13,3171862.8669228493
2018-01-14,3716813.104092348
2018-01-15,2572843.3101814454
2018-01-16,3659294.11300024
2018-01-17,1891374.1575317592
2018-01-18,1818931.05560759
2018-01-19,1796667.21813681
2018-01-20,1897906.5142402132
2018-01-21,1671475.947435704
2018-01-22,1667267.8374961722
2018-01-23,2382891.184771371
2018-01-24,1840338.591637195
2018-01-25,2241552.515465087
2018-01-26,1739295.0215774768
2018-01-27,1656233.7817826262
2018-01-28,2221441.664474996
2018-01-29,2752226.2292317585
2018-01-30,3152216.865286545
2018-01-31,2570690.323700751
2018-02-01,2927352.106831618
2018-02-02,2377337.458281411
2018-02-03,2494185.906369828
2018-02-04,2674058.1405294
2018-02-05,2802405.493685149
2018-02-06,2597773.914997632
2018-02-07,2734464.0907660634
2018-02-08,3432643.354396569
2018-02-09,2706744.389827164
2018-02-10,2383771.9519680156
2018-02-11,2428103.900865888
2018-02-12,2442832.285654252
2018-02-13,2386781.239889896
2018-02-14,2473438.945737716
2018-02-15,2876316.540937054
2018-02-16,2983598.878639676
2018-02-17,2816375.440054174
