date,Load_mg
6/13/2012,29741237.81
6/14/2012,34843766.14
6/15/2012,28718848.84
6/16/2012,26417380.39
6/17/2012,24481378.59
6/18/2012,24343792.97
6/19/2012,21996285.56
6/20/2012,22998323.92
6/21/2012,34945927.26
6/22/2012,23412559.63
6/23/2012,44444331.86
6/24/2012,45464416.11
6/25/2012,97030201.24
6/26/2012,122473065.6
6/27/2012,134454520.2
6/28/2012,114633441.5
6/29/2012,98383626.84
6/30/2012,92077523.1
7/1/2012,56330095.41
7/2/2012,41529529.7
7/3/2012,33423099.83
7/4/2012,36020685.15
7/5/2012,36686389.13
7/6/2012,27874040.38
7/7/2012,27533645.72
7/8/2012,18279757.1
7/9/2012,14072776.68
7/10/2012,13088371.34
7/11/2012,11274169.49
7/12/2012,14032388.42
7/13/2012,14434640.19
7/14/2012,13784815.99
7/15/2012,14509366.45
7/16/2012,15114049.19
7/17/2012,21313499.51
7/18/2012,19329960.49
7/19/2012,15030420.61
7/20/2012,10809956.63
7/21/2012,8658523.339
7/22/2012,6194194.532
7/23/2012,11584467.71
7/24/2012,11294358.99
7/25/2012,7693144.165
7/26/2012,7397163.704
7/27/2012,6726931.268
7/28/2012,5234721.873
7/29/2012,3651277.454
7/30/2012,3000805.386
7/31/2012,3287304.129
8/1/2012,4017432.404
8/2/2012,3312820.751
8/3/2012,3397300.229
8/4/2012,2842670.367
8/5/2012,3450187.286
8/6/2012,4283193.959
8/7/2012,3330786.55
8/8/2012,3172669.258
8/9/2012,3635941.899
8/10/2012,3996092.918
8/11/2012,5829766.059
8/12/2012,8275427.705
8/13/2012,7753248.795
8/14/2012,9556716.934
8/15/2012,13349194.37
8/16/2012,15149237.72
8/17/2012,16607859.36
8/18/2012,19093003.28
8/19/2012,22106211.6
8/20/2012,22891590.45
8/21/2012,25948427.22
8/22/2012,61740456.4
8/23/2012,85934249.54
8/24/2012,84818699.17
8/25/2012,81502101.3
8/26/2012,111874722.5
8/27/2012,455783825
8/28/2012,603724067.1
8/29/2012,599962020.2
8/30/2012,553308666
8/31/2012,521763152.6
