date,Stage_ft,Stage_m,Storage_acft,Storage_m3,SA_acres
4/23/2022,13.1825,4.018026,3184285,3927751862,403103
4/24/2022,13.1525,4.008882,3171745,3912284023,401771
4/25/2022,13.12,3.998976,3158160,3895527197,400328
4/26/2022,13.0775,3.986022,3140395,3873614425,398441
4/27/2022,13.06,3.980688,3133080,3864591518,397664
4/28/2022,13.0275,3.970782,3119495,3847834693,396221
4/29/2022,13.0175,3.967734,3115315,3842678746,395777
4/30/2022,13,3.9624,3108000,3833655840,395000
5/1/2022,12.995,3.960876,3106070,3831275224,394886
5/2/2022,12.995,3.960876,3106070,3831275224,394886
5/3/2022,12.9975,3.961638,3107035,3832465532,394943
5/4/2022,13,3.9624,3108000,3833655840,395000
5/5/2022,12.9925,3.960114,3105105,3830084915,394829
5/6/2022,12.9575,3.949446,3091595,3813420601,394031
5/7/2022,12.915,3.936492,3075190,3793185361,393062
5/8/2022,12.915,3.936492,3075190,3793185361,393062
5/9/2022,12.89,3.928872,3065540,3781282279,392492
5/10/2022,12.825,3.90906,3040450,3750334266,391010
5/11/2022,12.765,3.890772,3017290,3721766869,389642
5/12/2022,12.74,3.883152,3007640,3709863787,389072
5/13/2022,12.7275,3.879342,3002815,3703912246,388787
5/14/2022,12.7175,3.876294,2998955,3699151013,388559
5/15/2022,12.7075,3.873246,2995095,3694389781,388331
5/16/2022,12.6925,3.868674,2989305,3687247931,387989
5/17/2022,12.68,3.864864,2984480,3681296390,387704
5/18/2022,12.66,3.858768,2976760,3671773925,387248
5/19/2022,12.645,3.854196,2970970,3664632076,386906
5/20/2022,12.685,3.866388,2986410,3683677007,387818
5/21/2022,12.715,3.875532,2997990,3697960705,388502
5/22/2022,12.7125,3.87477,2997025,3696770397,388445
5/23/2022,12.695,3.869436,2990270,3688438240,388046
5/24/2022,12.675,3.86334,2982550,3678915774,387590
5/25/2022,12.6375,3.85191,2968075,3661061151,386735
5/26/2022,12.605,3.842004,2955530,3645587144,385994
5/27/2022,12.57,3.831336,2942020,3628922830,385196
5/28/2022,12.5525,3.826002,2935265,3620590672,384797
5/29/2022,12.58,3.834384,2945880,3633684062,385424
5/30/2022,12.6275,3.848862,2964215,3656299918,386507
5/31/2022,12.6125,3.84429,2958425,3649158069,386165
6/1/2022,12.5925,3.838194,2950705,3639635603,385709
6/2/2022,12.5975,3.839718,2952635,3642016220,385823
6/3/2022,12.65,3.85572,2972900,3667012692,387020
6/4/2022,12.7175,3.876294,2998955,3699151013,388559
6/5/2022,12.7325,3.880866,3004745,3706292863,388901
6/6/2022,12.745,3.884676,3009570,3712244404,389186
6/7/2022,12.745,3.884676,3009570,3712244404,389186
6/8/2022,12.7475,3.885438,3010535,3713434712,389243
6/9/2022,12.7575,3.888486,3014395,3718195945,389471
6/10/2022,12.835,3.912108,3044310,3755095499,391238
6/11/2022,12.985,3.957828,3102210,3826513991,394658
6/12/2022,13.0075,3.964686,3111135,3837522800,395333
6/13/2022,13.01,3.965448,3112180,3838811786,395444
6/14/2022,13.005,3.963924,3110090,3836233813,395222
6/15/2022,13,3.9624,3108000,3833655840,395000
6/16/2022,12.985,3.957828,3102210,3826513991,394658
6/17/2022,12.965,3.951732,3094490,3816991525,394202
6/18/2022,12.94,3.944112,3084840,3805088443,393632
6/19/2022,12.9375,3.94335,3083875,3803898135,393575
6/20/2022,12.9425,3.944874,3085805,3806278751,393689
6/21/2022,12.9625,3.95097,3093525,3815801217,394145
6/22/2022,12.94,3.944112,3084840,3805088443,393632
6/23/2022,12.9225,3.938778,3078085,3796756286,393233
6/24/2022,12.89,3.928872,3065540,3781282279,392492
6/25/2022,12.89,3.928872,3065540,3781282279,392492
6/26/2022,12.9175,3.937254,3076155,3794375669,393119
6/27/2022,12.92,3.938016,3077120,3795565978,393176
6/28/2022,12.9325,3.941826,3081945,3801517519,393461
6/29/2022,12.915,3.936492,3075190,3793185361,393062
6/30/2022,12.915,3.936492,3075190,3793185361,393062
7/1/2022,12.9075,3.934206,3072295,3789614437,392891
7/2/2022,12.895,3.930396,3067470,3783662896,392606
7/3/2022,12.8775,3.925062,3060715,3775330738,392207
7/4/2022,12.8675,3.922014,3056855,3770569505,391979
7/5/2022,12.8725,3.923538,3058785,3772950122,392093
7/6/2022,12.8775,3.925062,3060715,3775330738,392207
7/7/2022,12.8725,3.923538,3058785,3772950122,392093
7/8/2022,12.88,3.925824,3061680,3776521046,392264
7/9/2022,12.89,3.928872,3065540,3781282279,392492
7/10/2022,12.915,3.936492,3075190,3793185361,393062
7/11/2022,12.955,3.948684,3090630,3812230292,393974
7/12/2022,12.9675,3.952494,3095455,3818181833,394259
7/13/2022,12.9825,3.957066,3101245,3825323683,394601
7/14/2022,12.97,3.953256,3096420,3819372142,394316
7/15/2022,12.9775,3.955542,3099315,3822943066,394487
7/16/2022,13.0075,3.964686,3111135,3837522800,395333
7/17/2022,13.06,3.980688,3133080,3864591518,397664
7/18/2022,13.08,3.986784,3141440,3874903411,398552
7/19/2022,13.0875,3.98907,3144575,3878770371,398885
7/20/2022,13.0775,3.986022,3140395,3873614425,398441
7/21/2022,13.065,3.982212,3135170,3867169492,397886
7/22/2022,13.05,3.97764,3128900,3859435572,397220
7/23/2022,13.0525,3.978402,3129945,3860724559,397331
7/24/2022,13.0525,3.978402,3129945,3860724559,397331
7/25/2022,13.035,3.973068,3122630,3851701652,396554
7/26/2022,13.0275,3.970782,3119495,3847834693,396221
7/27/2022,13.05,3.97764,3128900,3859435572,397220
7/28/2022,13.0325,3.972306,3121585,3850412666,396443
7/29/2022,13.015,3.966972,3114270,3841389760,395666
7/30/2022,12.9975,3.961638,3107035,3832465532,394943
7/31/2022,12.975,3.95478,3098350,3821752758,394430
8/1/2022,12.9575,3.949446,3091595,3813420601,394031
8/2/2022,12.9375,3.94335,3083875,3803898135,393575
8/3/2022,12.9825,3.957066,3101245,3825323683,394601
8/4/2022,12.9775,3.955542,3099315,3822943066,394487
8/5/2022,12.9675,3.952494,3095455,3818181833,394259
8/6/2022,12.9375,3.94335,3083875,3803898135,393575
8/7/2022,12.9075,3.934206,3072295,3789614437,392891
8/8/2022,12.8875,3.92811,3064575,3780091971,392435
8/9/2022,12.8675,3.922014,3056855,3770569505,391979
8/10/2022,12.8425,3.914394,3047205,3758666423,391409
8/11/2022,12.8075,3.903726,3033695,3742002109,390611
8/12/2022,12.785,3.896868,3025010,3731289335,390098
8/13/2022,12.7575,3.888486,3014395,3718195945,389471
8/14/2022,12.785,3.896868,3025010,3731289335,390098
8/15/2022,12.77,3.892296,3019220,3724147486,389756
8/16/2022,12.75,3.8862,3011500,3714625020,389300
8/17/2022,12.735,3.881628,3005710,3707483171,388958
8/18/2022,12.7175,3.876294,2998955,3699151013,388559
8/19/2022,12.7075,3.873246,2995095,3694389781,388331
8/20/2022,12.6925,3.868674,2989305,3687247931,387989
8/21/2022,12.675,3.86334,2982550,3678915774,387590
8/22/2022,12.645,3.854196,2970970,3664632076,386906
8/23/2022,12.6325,3.850386,2966145,3658680535,386621
8/24/2022,12.61,3.843528,2957460,3647967761,386108
8/25/2022,12.6025,3.841242,2954565,3644396836,385937
8/26/2022,12.59,3.837432,2949740,3638445295,385652
8/27/2022,12.5825,3.835146,2946845,3634874371,385481
8/28/2022,12.5875,3.83667,2948775,3637254987,385595
8/29/2022,12.5825,3.835146,2946845,3634874371,385481
8/30/2022,12.565,3.829812,2940090,3626542213,385082
8/31/2022,12.5575,3.827526,2937195,3622971289,384911
9/1/2022,12.5525,3.826002,2935265,3620590672,384797
9/2/2022,12.56,3.828288,2938160,3624161597,384968
9/3/2022,12.565,3.829812,2940090,3626542213,385082
9/4/2022,12.5425,3.822954,2931405,3615829439,384569
9/5/2022,12.5325,3.819906,2927545,3611068207,384341
9/6/2022,12.515,3.814572,2920790,3602736049,383942
9/7/2022,12.4925,3.807714,2912105,3592023275,383411
9/8/2022,12.495,3.808476,2913070,3593213584,383474
9/9/2022,12.5175,3.815334,2921755,3603926357,383999
9/10/2022,12.535,3.820668,2928510,3612258515,384398
9/11/2022,12.5425,3.822954,2931405,3615829439,384569
9/12/2022,12.5425,3.822954,2931405,3615829439,384569
9/13/2022,12.55,3.82524,2934300,3619400364,384740
9/14/2022,12.585,3.835908,2947810,3636064679,385538
9/15/2022,12.615,3.845052,2959390,3650348377,386222
9/16/2022,12.6825,3.865626,2985445,3682486699,387761
9/17/2022,12.7625,3.89001,3016325,3720576561,389585
9/18/2022,12.8025,3.902202,3031765,3739621492,390497
9/19/2022,12.84,3.913632,3046240,3757476115,391352
9/20/2022,12.875,3.9243,3059750,3774140430,392150
9/21/2022,12.9025,3.932682,3070365,3787233820,392777
9/22/2022,12.9325,3.941826,3081945,3801517519,393461
9/23/2022,12.9625,3.95097,3093525,3815801217,394145
9/24/2022,13.03666667,3.973576,3123326.667,3852560977,396628
9/25/2022,13.08333333,3.9878,3142833.333,3876622060,398700
9/26/2022,13.14333333,4.006088,3167913.333,3907557738,401364
9/27/2022,13.2675,4.043934,3219815,3971577406,406877
9/28/2022,13.34,4.066032,3250120,4008958018,410096
9/29/2022,13.38666667,4.080256,3269626.667,4033019101,412168
9/30/2022,13.74,4.187952,3417800,4215787944,426224
10/1/2022,13.86,4.224528,3468200,4277955336,430736
10/2/2022,13.95,4.25196,3506000,4324580880,434120
10/3/2022,14.04666667,4.281424,3548280,4376732414,436737.3333
10/4/2022,14.165,4.317492,3602240,4443290995,438607
10/5/2022,14.2,4.32816,3618200,4462977336,439160
10/6/2022,14.275,4.35102,3652400,4505162352,440345
10/7/2022,14.3525,4.374642,3687740,4548753535,441569.5
10/8/2022,14.41,4.392168,3713960,4581095381,442478
10/9/2022,14.495,4.418076,3752720,4628905066,443821
10/10/2022,14.5875,4.44627,3794375,4680285675,444652.5
10/11/2022,14.665,4.469892,3829250,4723303290,445319
10/12/2022,14.7575,4.498086,3870875,4774646895,446114.5
10/13/2022,14.9075,4.543806,3938375,4857906795,447404.5
10/14/2022,15.035,4.582668,3995400,4928245992,448340
10/15/2022,15.1275,4.610862,4036100,4978448628,448710
10/16/2022,15.195,4.631436,4065800,5015082984,448980
10/17/2022,15.27,4.654296,4098800,5055787824,449280
10/18/2022,15.355,4.680204,4136200,5101919976,449620
10/19/2022,15.385,4.689348,4149400,5118201912,449740
10/20/2022,15.415,4.698492,4162600,5134483848,449860
10/21/2022,15.4675,4.714494,4185700,5162977236,450070
10/22/2022,15.53,4.733544,4213500,5197267980,450320
10/23/2022,15.5825,4.749546,4237125,5226408945,450530
10/24/2022,15.635,4.765548,4260750,5255549910,450740
10/25/2022,15.685,4.780788,4283250,5283303210,450940
10/26/2022,15.7275,4.793742,4302375,5306893515,451110
10/27/2022,15.7575,4.802886,4315875,5323545495,451230
10/28/2022,15.79,4.812792,4330500,5341585140,451360
10/29/2022,15.8125,4.81965,4340625,5354074125,451450
