date,DIN
7/9/2010,169.3004289
7/10/2010,167.5670644
7/11/2010,165.8337003
7/12/2010,164.1003356
7/13/2010,162.531411
7/14/2010,160.9765171
7/15/2010,159.421623
7/16/2010,157.8667291
7/17/2010,156.311835
7/18/2010,154.7569411
7/19/2010,153.2020467
7/20/2010,151.6471527
7/21/2010,150.0922587
7/22/2010,148.537365
7/23/2010,146.9824706
7/24/2010,145.4275766
7/25/2010,143.8726826
7/26/2010,142.3177887
7/27/2010,140.7628943
7/28/2010,139.2080006
7/29/2010,137.6531063
7/30/2010,136.0982121
7/31/2010,134.543318
8/1/2010,132.9884246
8/2/2010,131.4335301
8/3/2010,129.878636
8/4/2010,128.3237417
8/5/2010,126.768848
8/6/2010,125.2139539
8/7/2010,123.65906
8/8/2010,122.1041657
8/9/2010,120.5492717
8/10/2010,118.9943777
8/11/2010,117.4394834
8/12/2010,115.8845897
8/13/2010,114.3296956
8/14/2010,112.7748014
8/15/2010,111.2199073
8/16/2010,109.6650136
8/17/2010,108.1101194
8/18/2010,106.5552253
8/19/2010,105.0003313
8/20/2010,103.4454371
8/21/2010,101.8905431
8/22/2010,100.3356491
8/23/2010,98.78075514
8/24/2010,98.32253
8/25/2010,97.864305
8/26/2010,98.02826429
8/27/2010,98.19222386
8/28/2010,98.35618329
8/29/2010,98.52014271
8/30/2010,98.684102
8/31/2010,98.84806157
9/1/2010,99.01202057
9/2/2010,99.17598014
9/3/2010,99.33993957
9/4/2010,99.50389914
9/5/2010,99.66785829
9/6/2010,99.83181771
9/7/2010,99.99577714
9/8/2010,100.1597366
9/9/2010,100.3236959
9/10/2010,100.4876553
9/11/2010,100.6516149
9/12/2010,100.8155741
9/13/2010,100.9795337
9/14/2010,101.1434929
9/15/2010,101.3074523
9/16/2010,101.4714116
9/17/2010,101.6353711
9/18/2010,101.7993307
9/19/2010,101.96329
9/20/2010,102.1272493
9/21/2010,105.3333333
9/22/2010,107.0482993
9/23/2010,108.7632654
9/24/2010,110.4782313
9/25/2010,112.1931971
9/26/2010,113.9081634
9/27/2010,115.6231291
9/28/2010,117.3380951
9/29/2010,119.0530614
9/30/2010,120.7680271
10/1/2010,122.4829931
10/2/2010,124.1979593
10/3/2010,125.9129251
10/4/2010,127.627891
10/5/2010,129.3428573
10/6/2010,131.0578231
10/7/2010,132.772789
10/8/2010,134.4877553
10/9/2010,136.202721
10/10/2010,137.917687
10/11/2010,139.6326531
10/12/2010,141.347619
10/13/2010,143.062585
10/14/2010,144.7775511
10/15/2010,146.492517
10/16/2010,148.2074829
10/17/2010,149.9224491
10/18/2010,151.6374149
10/19/2010,153.3523809
10/20/2010,155.0673471
10/21/2010,149.9005103
10/22/2010,148.6765306
10/23/2010,147.452551
10/24/2010,146.2285714
10/25/2010,145.0045919
10/26/2010,143.7806121
10/27/2010,142.5566327
10/28/2010,141.3326531
10/29/2010,140.1086734
10/30/2010,138.8846939
10/31/2010,137.6607143
11/1/2010,136.4367347
11/2/2010,142.0514994
11/3/2010,145.8683301
11/4/2010,149.6851607
11/5/2010,153.501991
11/6/2010,157.3188216
11/7/2010,161.1356521
11/8/2010,164.9524829
11/9/2010,168.7693131
11/10/2010,172.5861437
11/11/2010,176.4029744
11/12/2010,180.2198046
11/13/2010,184.0366351
11/14/2010,187.8534656
11/15/2010,191.6702963
11/16/2010,195.4871264
11/17/2010,199.3039571
11/18/2010,203.1207879
11/19/2010,206.9376183
11/20/2010,210.7544487
11/21/2010,214.5712793
11/22/2010,218.3881099
11/23/2010,222.2049401
11/24/2010,226.0217706
11/25/2010,229.8386013
11/26/2010,233.6554316
11/27/2010,237.4722621
11/28/2010,241.2890927
11/29/2010,245.1059234
11/30/2010,248.9227537
12/1/2010,252.7395843
12/2/2010,256.5564149
12/3/2010,260.3732453
12/4/2010,264.1900757
12/5/2010,268.006906
12/6/2010,271.8237367
12/7/2010,275.640567
12/8/2010,279.4573976
12/9/2010,283.2742283
12/10/2010,287.0910587
12/11/2010,290.9078893
12/12/2010,294.7247197
12/13/2010,298.5415503
12/14/2010,302.3583807
12/15/2010,306.1752111
12/16/2010,309.002945
12/17/2010,311.8306787
12/18/2010,314.6584124
12/19/2010,317.4861466
12/20/2010,320.3138801
