date,NH4
2/23/2010,9.428433
2/24/2010,9.22824
2/25/2010,9.028046
2/26/2010,8.827853
2/27/2010,8.62766
2/28/2010,8.427466
3/1/2010,8.227273
3/2/2010,8.228272
3/3/2010,8.229271
3/4/2010,8.23027
3/5/2010,8.231269
3/6/2010,8.232268
3/7/2010,8.233267
3/8/2010,8.234266
3/9/2010,8.235265
3/10/2010,8.236264
3/11/2010,8.326588
3/12/2010,8.416912
3/13/2010,8.507237
3/14/2010,8.597561
3/15/2010,8.687885
3/16/2010,8.77821
3/17/2010,8.868534
3/18/2010,8.958858
3/19/2010,9.049182
3/20/2010,9.139507
3/21/2010,9.229831
3/22/2010,9.320156
3/23/2010,9.41048
3/24/2010,9.500804
3/25/2010,9.591128
3/26/2010,9.681453
3/27/2010,9.771777
3/28/2010,9.862101
3/29/2010,9.952426
3/30/2010,10.04275
3/31/2010,10.133074
4/1/2010,10.223398
4/2/2010,10.313723
4/3/2010,10.404047
4/4/2010,10.494371
4/5/2010,10.584696
4/6/2010,10.67502
4/7/2010,10.765344
4/8/2010,10.855669
4/9/2010,10.945993
4/10/2010,11.036317
4/11/2010,11.126642
4/12/2010,11.216966
4/13/2010,11.30729
4/14/2010,11.397615
4/15/2010,11.487939
4/16/2010,11.578263
4/17/2010,11.668587
4/18/2010,11.758912
4/19/2010,11.849236
4/20/2010,11.93956
4/21/2010,12.025199
4/22/2010,12.110837
4/23/2010,12.111311
4/24/2010,12.111785
4/25/2010,12.112259
4/26/2010,12.112732
4/27/2010,12.113206
4/28/2010,12.113679
4/29/2010,12.114153
4/30/2010,12.114627
5/1/2010,12.1151
5/2/2010,12.115574
5/3/2010,12.116048
5/4/2010,12.116521
5/5/2010,12.116995
5/6/2010,12.117469
5/7/2010,12.117942
5/8/2010,12.118416
5/9/2010,12.11889
5/10/2010,12.119363
5/11/2010,12.119837
5/12/2010,12.120311
5/13/2010,12.120784
5/14/2010,12.121258
5/15/2010,12.121732
5/16/2010,12.122205
5/17/2010,12.122679
5/18/2010,12.123153
5/19/2010,12.034392
5/20/2010,11.90873
5/21/2010,11.783069
5/22/2010,11.657407
5/23/2010,11.531746
5/24/2010,11.406085
5/25/2010,11.280423
5/26/2010,11.154762
5/27/2010,11.0291
5/28/2010,10.903439
5/29/2010,10.777778
5/30/2010,10.652116
5/31/2010,10.526455
6/1/2010,10.400794
6/2/2010,10.275132
6/3/2010,10.149471
6/4/2010,10.023809
6/5/2010,9.898148
6/6/2010,9.772487
6/7/2010,9.646826
6/8/2010,9.521164
6/9/2010,9.395503
6/10/2010,9.269841
6/11/2010,9.14418
6/12/2010,9.018518
6/13/2010,8.892857
