,Date,Total_Outflows_acft
6714,2009-05-20,0.0
6715,2009-05-21,0.0
6716,2009-05-22,0.0
6717,2009-05-23,0.0
6718,2009-05-24,0.0
6719,2009-05-25,0.0
6720,2009-05-26,0.0
6721,2009-05-27,0.0
6722,2009-05-28,0.0
6723,2009-05-29,0.0
6724,2009-05-30,0.0
6725,2009-05-31,0.0
6726,2009-06-01,65.515005
6727,2009-06-02,113.83306499999999
6728,2009-06-03,50.97595
6729,2009-06-04,0.0
6730,2009-06-05,0.0
6731,2009-06-06,0.0
6732,2009-06-07,0.0
6733,2009-06-08,0.0
6734,2009-06-09,0.0
6735,2009-06-10,0.0
6736,2009-06-11,0.0
6737,2009-06-12,0.0
6738,2009-06-13,0.0
6739,2009-06-14,0.0
6740,2009-06-15,0.0
6741,2009-06-16,25.7855
6742,2009-06-17,32.509565
6743,2009-06-18,0.0
6744,2009-06-19,10.51255
6745,2009-06-20,162.64700009999999
6746,2009-06-21,0.0
6747,2009-06-22,0.0
6748,2009-06-23,0.0
6749,2009-06-24,0.0
6750,2009-06-25,0.0
6751,2009-06-26,245.954
6752,2009-06-27,67.439
6753,2009-06-28,113.0595
6754,2009-06-29,222.15200000000002
6755,2009-06-30,0.0
6756,2009-07-01,0.0
6757,2009-07-02,0.0
6758,2009-07-03,537.5285
6759,2009-07-04,466.1225
6760,2009-07-05,325.29400000000004
6761,2009-07-06,101.1585
6762,2009-07-07,0.0
6763,2009-07-08,35.703
6764,2009-07-09,0.0
6765,2009-07-10,59.50500002
6766,2009-07-11,0.0
6767,2009-07-12,146.779
6768,2009-07-13,136.8615
6769,2009-07-14,0.0
6770,2009-07-15,464.13900010000003
6771,2009-07-16,37.6865
6772,2009-07-17,432.403
6773,2009-07-18,346.87448
6774,2009-07-19,156.6965
6775,2009-07-20,111.4727
6776,2009-07-21,341.1620001
6777,2009-07-22,331.24450010000004
6778,2009-07-23,267.7725
6779,2009-07-24,468.1060001
6780,2009-07-25,881.3682252
6781,2009-07-26,456.205
6782,2009-07-27,374.8815
6783,2009-07-28,4460.633645
6784,2009-07-29,6291.265300999999
6785,2009-07-30,6061.576002000001
6786,2009-07-31,3635.7555009999996
6787,2009-08-01,3340.2140010000003
6788,2009-08-02,1818.8695
6789,2009-08-03,2408.04834
6790,2009-08-04,2198.412225
6791,2009-08-05,996.39139
6792,2009-08-06,457.03807
6793,2009-08-07,328.408095
6794,2009-08-08,383.76758
6795,2009-08-09,388.76599999999996
6796,2009-08-10,374.8815
6797,2009-08-11,444.3040001
6798,2009-08-12,138.845
6799,2009-08-13,130.911
6800,2009-08-14,198.35
6801,2009-08-15,43.637
6802,2009-08-16,216.2015001
6803,2009-08-17,198.3500001
6804,2009-08-18,81.32350005
6805,2009-08-19,212.2345
6806,2009-08-20,676.194985
6807,2009-08-21,267.7725
6808,2009-08-22,309.426
6809,2009-08-23,436.548515
6810,2009-08-24,607.30803
6811,2009-08-25,569.2645001
6812,2009-08-26,572.6364501
6813,2009-08-27,481.39545
6814,2009-08-28,517.6935
6815,2009-08-29,507.776
6816,2009-08-30,499.842
6817,2009-08-31,353.06300000000005
6818,2009-09-01,331.2445
6819,2009-09-02,453.8248
6820,2009-09-03,589.4565299999999
6821,2009-09-04,480.00699999999995
6822,2009-09-05,587.1160001000001
6823,2009-09-06,0.0
6824,2009-09-07,124.1671
6825,2009-09-08,81.3235
6826,2009-09-09,305.459
6827,2009-09-10,394.7165
6828,2009-09-11,404.634
6829,2009-09-12,444.30400000000003
6830,2009-09-13,200.3335
6831,2009-09-14,285.6240001
6832,2009-09-15,309.426
6833,2009-09-16,337.195
6834,2009-09-17,403.24555
6835,2009-09-18,474.0565001
6836,2009-09-19,808.7721251
6837,2009-09-20,476.04
6838,2009-09-21,644.6375001
6839,2009-09-22,581.1655
6840,2009-09-23,485.9575
6841,2009-09-24,612.9015001
6842,2009-09-25,686.2910001
6843,2009-09-26,517.6935001
6844,2009-09-27,511.74300000000005
6845,2009-09-28,591.0830000000001
6846,2009-09-29,551.413
6847,2009-09-30,557.3635
6848,2009-10-01,708.1095001
6849,2009-10-02,614.885
6850,2009-10-03,626.786
6851,2009-10-04,603.7774
6852,2009-10-05,910.50584
6853,2009-10-06,595.05
6854,2009-10-07,277.69
6855,2009-10-08,329.26099999999997
6856,2009-10-09,426.4525
6857,2009-10-10,402.6505
6858,2009-10-11,392.733
6859,2009-10-12,521.6605002
6860,2009-10-13,325.29400000000004
6861,2009-10-14,559.347
6862,2009-10-15,1245.638
6863,2009-10-16,1772.832465
6864,2009-10-17,764.302055
6865,2009-10-18,425.877285
6866,2009-10-19,2114.391165
6867,2009-10-20,2710.21473
6868,2009-10-21,3601.55996
6869,2009-10-22,4164.140065
6870,2009-10-23,2927.784845
6871,2009-10-24,1531.85705
6872,2009-10-25,971.915
6873,2009-10-26,1009.6015
6874,2009-10-27,2574.166465
6875,2009-10-28,2632.38219
6876,2009-10-29,1668.6590449999999
6877,2009-10-30,1366.6315
6878,2009-10-31,1747.22548
6879,2009-11-01,1773.6060300000001
6880,2009-11-02,2033.8610649999998
6881,2009-11-03,3590.61104
6882,2009-11-04,3748.7554950000003
6883,2009-11-05,2615.00673
6884,2009-11-06,2615.780295
6885,2009-11-07,2087.8916050000003
6886,2009-11-08,2043.63972
6887,2009-11-09,4106.440051
6888,2009-11-10,3978.206775
6889,2009-11-11,2452.657255
6890,2009-11-12,3359.037415
6891,2009-11-13,3819.665621
6892,2009-11-14,3333.8469649999997
6893,2009-11-15,3324.484845
6894,2009-11-16,4917.21551
6895,2009-11-17,5907.93409
6896,2009-11-18,5696.691339999999
6897,2009-11-19,4653.429845000001
6898,2009-11-20,4656.8216299999995
6899,2009-11-21,3677.9445450000003
6900,2009-11-22,3171.0016149999997
6901,2009-11-23,3238.162925
6902,2009-11-24,3169.31564
6903,2009-11-25,1568.9485
6904,2009-11-26,815.2185001
6905,2009-11-27,801.53235
6906,2009-11-28,1289.275
6907,2009-11-29,1509.4435
6908,2009-11-30,1321.011
6909,2009-12-01,1013.9652
6910,2009-12-02,1186.133
6911,2009-12-03,1162.509515
6912,2009-12-04,507.77600010000003
6913,2009-12-05,476.04000010000004
6914,2009-12-06,156.6965
6915,2009-12-07,194.38299999999998
6916,2009-12-08,307.4425
6917,2009-12-09,644.6375002
6918,2009-12-10,773.5650002
6919,2009-12-11,821.1690002
6920,2009-12-12,967.9480002999999
6921,2009-12-13,632.7365
6922,2009-12-14,670.4230001
6923,2009-12-15,551.4130001
6924,2009-12-16,210.25099999999998
6925,2009-12-17,136.8615
6926,2009-12-18,69.4225
6927,2009-12-19,168.5975
6928,2009-12-20,146.779
6929,2009-12-21,140.8285
6930,2009-12-22,196.3665
6931,2009-12-23,287.60750010000004
6932,2009-12-24,255.8715
6933,2009-12-25,243.9705
6934,2009-12-26,105.1255
6935,2009-12-27,196.3665
6936,2009-12-28,349.096
6937,2009-12-29,466.1225
6938,2009-12-30,995.7170001000001
6939,2009-12-31,460.1720001
6940,2010-01-01,265.789
6941,2010-01-02,216.2015
6942,2010-01-03,1164.98889
6943,2010-01-04,2284.07959
6944,2010-01-05,2981.7757149999998
6945,2010-01-06,3237.5480399999997
6946,2010-01-07,2843.208405
6947,2010-01-08,1344.85267
6948,2010-01-09,615.8965850999999
6949,2010-01-10,596.2996051
6950,2010-01-11,1624.903035
6951,2010-01-12,1285.308
6952,2010-01-13,821.169
6953,2010-01-14,714.06
6954,2010-01-15,1200.0175
6955,2010-01-16,1237.704
6956,2010-01-17,533.36315
6957,2010-01-18,362.9805
6958,2010-01-19,337.195
6959,2010-01-20,557.3635
6960,2010-01-21,646.621
6961,2010-01-22,359.0135
6962,2010-01-23,283.6405
6963,2010-01-24,761.9813601
6964,2010-01-25,307.4425
6965,2010-01-26,0.0
6966,2010-01-27,202.317
6967,2010-01-28,1132.5785
6968,2010-01-29,2064.8235
6969,2010-01-30,1334.8955
6970,2010-01-31,688.2745
6971,2010-02-01,410.5845
6972,2010-02-02,337.195
6973,2010-02-03,247.9375
6974,2010-02-04,99.17500003
6975,2010-02-05,0.0
6976,2010-02-06,174.5480001
6977,2010-02-07,0.0
6978,2010-02-08,67.439
6979,2010-02-09,248.07634500000003
6980,2010-02-10,299.5085001
6981,2010-02-11,69.42250002
6982,2010-02-12,113.0595
6983,2010-02-13,886.6245001
6984,2010-02-14,1332.912
6985,2010-02-15,1586.8
6986,2010-02-16,1739.5295
6987,2010-02-17,1889.2639149999998
6988,2010-02-18,1166.595525
6989,2010-02-19,766.404565
6990,2010-02-20,852.905
6991,2010-02-21,2332.596
6992,2010-02-22,2409.9525
6993,2010-02-23,2094.576
6994,2010-02-24,1912.094
6995,2010-02-25,920.3439999999999
6996,2010-02-26,1021.93887
6997,2010-02-27,825.869895
6998,2010-02-28,296.92995
6999,2010-03-01,238.317525
7000,2010-03-02,850.9215
7001,2010-03-03,2560.6985
7002,2010-03-04,3887.66
7003,2010-03-05,3572.2835
7004,2010-03-06,2352.431
7005,2010-03-07,944.1460000000001
7006,2010-03-08,1239.6875
7007,2010-03-09,2299.689735
7008,2010-03-10,3761.70775
7009,2010-03-11,3411.9373600000004
7010,2010-03-12,1105.821085
7011,2010-03-13,0.0
7012,2010-03-14,0.0
7013,2010-03-15,737.862
7014,2010-03-16,31.73600004
7015,2010-03-17,47.604
7016,2010-03-18,579.1820001
7017,2010-03-19,493.8915
7018,2010-03-20,583.149
7019,2010-03-21,581.1655
7020,2010-03-22,277.69
7021,2010-03-23,430.4195
7022,2010-03-24,511.74300000000005
7023,2010-03-25,563.314
7024,2010-03-26,602.984
7025,2010-03-27,3362.0325009999997
7026,2010-03-28,5278.093500999999
7027,2010-03-29,2110.444
7028,2010-03-30,1215.8855
7029,2010-03-31,1354.7305
7030,2010-04-01,3998.7360009999998
7031,2010-04-02,5032.139501
7032,2010-04-03,5018.2550009999995
7033,2010-04-04,5048.007501
7034,2010-04-05,5337.5985009999995
7035,2010-04-06,6036.048356
7036,2010-04-07,6341.586696
7037,2010-04-08,7216.449041
7038,2010-04-09,6618.503131
7039,2010-04-10,4991.081051
7040,2010-04-11,6037.833506
7041,2010-04-12,4114.473225
7042,2010-04-13,3128.57455
7043,2010-04-14,4932.9645
7044,2010-04-15,6251.992001
7045,2010-04-16,6369.018501
7046,2010-04-17,4986.519
7047,2010-04-18,3496.9105
7048,2010-04-19,1400.351
7049,2010-04-20,1235.7205
7050,2010-04-21,1715.7275
7051,2010-04-22,2632.1045010000003
7052,2010-04-23,3967.000001
7053,2010-04-24,4443.040000999999
7054,2010-04-25,4161.383001
7055,2010-04-26,1263.4895
7056,2010-04-27,0.0
7057,2010-04-28,491.908
7058,2010-04-29,1612.5855
7059,2010-04-30,1676.0575
7060,2010-05-01,1467.79
7061,2010-05-02,1307.1265
7062,2010-05-03,9246.779477
7063,2010-05-04,12541.65067
7064,2010-05-05,13397.09455
7065,2010-05-06,12945.19374
7066,2010-05-07,12656.435809999999
7067,2010-05-08,12616.329440000001
7068,2010-05-09,12318.09038
7069,2010-05-10,13235.67732
7070,2010-05-11,15674.073209999999
7071,2010-05-12,17537.769809999998
7072,2010-05-13,21122.25183
7073,2010-05-14,21440.10771
7074,2010-05-15,18426.972859999998
7075,2010-05-16,15120.280009999999
7076,2010-05-17,12793.575
7077,2010-05-18,10268.5795
7078,2010-05-19,8700.007866
7079,2010-05-20,7738.288056
7080,2010-05-21,7207.364611
7081,2010-05-22,9312.949037
7082,2010-05-23,11154.27176
7083,2010-05-24,12508.92292
7084,2010-05-25,13145.745429999999
7085,2010-05-26,14186.50771
7086,2010-05-27,15780.646659999999
7087,2010-05-28,14017.05731
7088,2010-05-29,6431.6574310000005
7089,2010-05-30,3685.3430009999997
7090,2010-05-31,3003.019001
7091,2010-06-01,4286.343500999999
7092,2010-06-02,4242.706501
7093,2010-06-03,4722.713501
7094,2010-06-04,3237.072001
7095,2010-06-05,3104.177501
7096,2010-06-06,4121.713001
