Date,TP_Loads_In_mg,Atm_Loading_mg
2/10/2018,228239525.3,95890410.96
2/11/2018,212775268.1,95890410.96
2/12/2018,232470379,95890410.96
2/13/2018,210362695.6,95890410.96
2/14/2018,222060186.8,95890410.96
2/15/2018,281987600.6,95890410.96
2/16/2018,255290424.9,95890410.96
2/17/2018,229358240.8,95890410.96
2/18/2018,245466236.2,95890410.96
2/19/2018,240947720.4,95890410.96
2/20/2018,238074358.9,95890410.96
2/21/2018,250894189,95890410.96
2/22/2018,263796781.9,95890410.96
2/23/2018,234327503.4,95890410.96
2/24/2018,232921546,95890410.96
2/25/2018,215684120.1,95890410.96
2/26/2018,173012073.1,95890410.96
2/27/2018,221649817,95890410.96
2/28/2018,220455215.7,95890410.96
3/1/2018,235427991.5,95890410.96
3/2/2018,185565188.7,95890410.96
3/3/2018,212812373.1,95890410.96
3/4/2018,208835592.1,95890410.96
3/5/2018,114869009.4,95890410.96
3/6/2018,117662170.8,95890410.96
3/7/2018,153361788.5,95890410.96
3/8/2018,105293813.5,95890410.96
3/9/2018,85300116.11,95890410.96
3/10/2018,107214762,95890410.96
3/11/2018,96946582.41,95890410.96
3/12/2018,103747598.8,95890410.96
3/13/2018,77519938.09,95890410.96
3/14/2018,78186307.69,95890410.96
3/15/2018,72277029.91,95890410.96
3/16/2018,54433289.81,95890410.96
3/17/2018,106196418.2,95890410.96
3/18/2018,75250649,95890410.96
3/19/2018,81330686.07,95890410.96
3/20/2018,91991855.34,95890410.96
3/21/2018,92563195.95,95890410.96
3/22/2018,53925265.03,95890410.96
3/23/2018,87708517.28,95890410.96
3/24/2018,116490514,95890410.96
3/25/2018,108339070,95890410.96
3/26/2018,81489682.02,95890410.96
3/27/2018,102404328.7,95890410.96
3/28/2018,101212272.2,95890410.96
3/29/2018,119333061.4,95890410.96
3/30/2018,98104250.92,95890410.96
3/31/2018,77955933.73,95890410.96
4/1/2018,56069274.26,95890410.96
4/2/2018,55849986.21,95890410.96
4/3/2018,81765686.81,95890410.96
4/4/2018,78399359.63,95890410.96
4/5/2018,94092644.86,95890410.96
4/6/2018,79060253.65,95890410.96
4/7/2018,114169063.2,95890410.96
4/8/2018,118258306.9,95890410.96
4/9/2018,80236203.49,95890410.96
4/10/2018,217286873.3,95890410.96
4/11/2018,110826779.2,95890410.96
4/12/2018,74820822.15,95890410.96
4/13/2018,78877766.9,95890410.96
4/14/2018,107625798.4,95890410.96
4/15/2018,147030022.8,95890410.96
4/16/2018,104017456.1,95890410.96
4/17/2018,98120705.62,95890410.96
4/18/2018,104849615.1,95890410.96
4/19/2018,100884322.2,95890410.96
4/20/2018,120410362.4,95890410.96
4/21/2018,101596205.9,95890410.96
4/22/2018,81479960.45,95890410.96
4/23/2018,177699748.5,95890410.96
4/24/2018,296849634,95890410.96
4/25/2018,259785211.9,95890410.96
4/26/2018,190506491.5,95890410.96
4/27/2018,128588753.2,95890410.96
4/28/2018,181522288.2,95890410.96
4/29/2018,99658466.01,95890410.96
4/30/2018,82249287.82,95890410.96
5/1/2018,52460150.78,95890410.96
5/2/2018,57075622.94,95890410.96
5/3/2018,38068289.19,95890410.96
5/4/2018,58805365.51,95890410.96
5/5/2018,63463491.4,95890410.96
5/6/2018,102362655.6,95890410.96
5/7/2018,145441331.9,95890410.96
5/8/2018,123673398.1,95890410.96
5/9/2018,63316009.09,95890410.96
5/10/2018,100538147.7,95890410.96
5/11/2018,56937181.47,95890410.96
5/12/2018,72082004.87,95890410.96
5/13/2018,244449312.7,95890410.96
5/14/2018,1054635784,95890410.96
5/15/2018,1476019536,95890410.96
5/16/2018,1197121769,95890410.96
5/17/2018,1516601575,95890410.96
5/18/2018,2257999631,95890410.96
5/19/2018,2084936723,95890410.96
5/20/2018,3041746089,95890410.96
5/21/2018,4705465134,95890410.96
5/22/2018,3543717566,95890410.96
5/23/2018,3144277538,95890410.96
5/24/2018,2675523305,95890410.96
5/25/2018,3062457317,95890410.96
5/26/2018,3879337534,95890410.96
5/27/2018,4504148809,95890410.96
5/28/2018,6062609683,95890410.96
5/29/2018,5070475966,95890410.96
5/30/2018,4200240544,95890410.96
5/31/2018,4654230825,95890410.96
6/1/2018,5151254492,95890410.96
6/2/2018,5560961224,95890410.96
6/3/2018,4426577871,95890410.96
6/4/2018,4212875802,95890410.96
6/5/2018,2932546238,95890410.96
6/6/2018,3254388534,95890410.96
6/7/2018,3850658212,95890410.96
6/8/2018,3673552458,95890410.96
6/9/2018,3673431489,95890410.96
6/10/2018,3202924451,95890410.96
6/11/2018,3167976381,95890410.96
6/12/2018,3527953474,95890410.96
6/13/2018,3481562676,95890410.96
6/14/2018,3705538374,95890410.96
6/15/2018,3661749788,95890410.96
6/16/2018,4089670489,95890410.96
6/17/2018,3939652813,95890410.96
6/18/2018,4068701957,95890410.96
6/19/2018,4077883545,95890410.96
6/20/2018,3831937999,95890410.96
6/21/2018,3817528714,95890410.96
6/22/2018,4424891033,95890410.96
6/23/2018,3692763312,95890410.96
6/24/2018,4223296520,95890410.96
6/25/2018,4534762901,95890410.96
6/26/2018,3507819909,95890410.96
6/27/2018,3231808455,95890410.96
6/28/2018,3418827518,95890410.96
6/29/2018,3839206468,95890410.96
6/30/2018,3185228112,95890410.96
7/1/2018,2785794236,95890410.96
7/2/2018,2511556924,95890410.96
7/3/2018,2038849843,95890410.96
7/4/2018,2161714864,95890410.96
7/5/2018,2575998262,95890410.96
7/6/2018,2288687831,95890410.96
7/7/2018,2878499731,95890410.96
7/8/2018,2293740259,95890410.96
7/9/2018,1956556651,95890410.96
7/10/2018,1920953823,95890410.96
7/11/2018,1712800537,95890410.96
7/12/2018,1676706987,95890410.96
