Date,ETVol_acft
28-Aug-01,7648
29-Aug-01,7242
30-Aug-01,7558
31-Aug-01,7174
1-Sep-01,7039
2-Sep-01,6994
3-Sep-01,6091
4-Sep-01,6215
5-Sep-01,5638
6-Sep-01,6289
7-Sep-01,4837
8-Sep-01,5080
9-Sep-01,4912
10-Sep-01,5706
11-Sep-01,5987
12-Sep-01,5807
13-Sep-01,4387
14-Sep-01,4816
15-Sep-01,5677
16-Sep-01,6161
17-Sep-01,6783
18-Sep-01,4948
19-Sep-01,5278
20-Sep-01,6256
21-Sep-01,7090
22-Sep-01,6848
23-Sep-01,6005
24-Sep-01,5832
25-Sep-01,5561
26-Sep-01,5009
27-Sep-01,4781
28-Sep-01,4233
29-Sep-01,4704
30-Sep-01,6426
1-Oct-01,6286
2-Oct-01,5865
3-Oct-01,6958
4-Oct-01,5684
5-Oct-01,4690
6-Oct-01,5055
7-Oct-01,4803
8-Oct-01,4516
9-Oct-01,5410
10-Oct-01,5944
11-Oct-01,5972
12-Oct-01,5600
13-Oct-01,4934
14-Oct-01,4602
15-Oct-01,4692
16-Oct-01,4524
17-Oct-01,5569
18-Oct-01,5590
19-Oct-01,4928
20-Oct-01,5122
21-Oct-01,4323
22-Oct-01,3643
23-Oct-01,3980
24-Oct-01,4679
25-Oct-01,4569
26-Oct-01,3913
27-Oct-01,5808
28-Oct-01,4468
29-Oct-01,4290
30-Oct-01,3077
31-Oct-01,5329
1-Nov-01,4555
2-Nov-01,4547
3-Nov-01,4814
4-Nov-01,4174
5-Nov-01,3834
6-Nov-01,4717
7-Nov-01,4025
8-Nov-01,4203
9-Nov-01,4365
10-Nov-01,4532
11-Nov-01,4318
12-Nov-01,4342
13-Nov-01,3277
14-Nov-01,3651
15-Nov-01,3053
16-Nov-01,4306
17-Nov-01,4110
18-Nov-01,2902
19-Nov-01,2376
20-Nov-01,3882
21-Nov-01,4035
22-Nov-01,4001
23-Nov-01,4428
24-Nov-01,4179
25-Nov-01,4518
26-Nov-01,2668
27-Nov-01,4250
28-Nov-01,4700
29-Nov-01,4456
30-Nov-01,4265
1-Dec-01,4359
2-Dec-01,4201
3-Dec-01,3998
4-Dec-01,2982
5-Dec-01,3661
6-Dec-01,3281
7-Dec-01,2873
8-Dec-01,2871
9-Dec-01,2810
10-Dec-01,2863
11-Dec-01,3742
12-Dec-01,4016
13-Dec-01,3570
14-Dec-01,2791
15-Dec-01,3981
16-Dec-01,3927
17-Dec-01,3934
18-Dec-01,3226
19-Dec-01,3860
20-Dec-01,3913
21-Dec-01,3813
22-Dec-01,3266
23-Dec-01,3267
24-Dec-01,2653
25-Dec-01,2450
26-Dec-01,2952
27-Dec-01,2774
28-Dec-01,3152
29-Dec-01,2705
30-Dec-01,2860
31-Dec-01,1843
1-Jan-02,3632
