,Date,ETVol_acft
626,2009-09-16,6461.109743
627,2009-09-17,6103.509857999999
628,2009-09-18,6067.836682
629,2009-09-19,4975.10182
630,2009-09-20,5428.220384
631,2009-09-21,4866.395258
632,2009-09-22,5001.7160380000005
633,2009-09-23,3214.6786190000003
634,2009-09-24,3936.960313
635,2009-09-25,5471.051036
636,2009-09-26,6159.017031
637,2009-09-27,4530.0718799999995
638,2009-09-28,5336.806346
639,2009-09-29,5810.96795
640,2009-09-30,3324.8945670000003
641,2009-10-01,4867.8396060000005
642,2009-10-02,6367.856334
643,2009-10-03,5386.889218
644,2009-10-04,5380.228588
645,2009-10-05,4306.976157
646,2009-10-06,5912.581833
647,2009-10-07,6031.452992
648,2009-10-08,5580.4897200000005
649,2009-10-09,4963.749619
650,2009-10-10,4367.730646
651,2009-10-11,4605.345622
652,2009-10-12,5245.960975999999
653,2009-10-13,3963.04888
654,2009-10-14,4119.938332
655,2009-10-15,4573.0347329999995
656,2009-10-16,3935.375539
657,2009-10-17,1809.059636
658,2009-10-18,4512.113732
659,2009-10-19,3654.27679
660,2009-10-20,4075.538978
661,2009-10-21,5169.731957999999
662,2009-10-22,3808.632668
663,2009-10-23,4773.482121
664,2009-10-24,4008.051575
665,2009-10-25,4599.783195
666,2009-10-26,4598.387595
667,2009-10-27,4661.51811
668,2009-10-28,5026.573575
669,2009-10-29,5177.89026
670,2009-10-30,3984.451115
671,2009-10-31,4506.978204
672,2009-11-01,4566.439124
673,2009-11-02,4464.812506
674,2009-11-03,5808.160439
675,2009-11-04,2759.09957
676,2009-11-05,3959.2754649999997
677,2009-11-06,3621.3052159999997
678,2009-11-07,4054.191975
679,2009-11-08,3334.298425
680,2009-11-09,2500.503895
681,2009-11-10,2446.510639
682,2009-11-11,1988.749959
683,2009-11-12,1231.15061
684,2009-11-13,3750.6854380000004
685,2009-11-14,3684.997749
686,2009-11-15,3728.2824060000003
687,2009-11-16,3097.1413
688,2009-11-17,3748.076829
689,2009-11-18,3720.024107
690,2009-11-19,4235.590261
691,2009-11-20,3540.203173
692,2009-11-21,3648.520997
693,2009-11-22,2592.2568309999997
694,2009-11-23,3112.4840649999996
695,2009-11-24,2742.8525170000003
696,2009-11-25,894.9015957999999
697,2009-11-26,1387.819969
698,2009-11-27,3914.0718469999997
699,2009-11-28,2842.7457219999997
700,2009-11-29,3666.5132810000005
701,2009-11-30,3734.528995
702,2009-12-01,3527.8009130000005
703,2009-12-02,3062.224441
704,2009-12-03,1471.328378
705,2009-12-04,578.9876661000001
706,2009-12-05,813.5910299
707,2009-12-06,2672.6727960000003
708,2009-12-07,3164.727223
709,2009-12-08,3079.043341
710,2009-12-09,3612.8824990000003
711,2009-12-10,3111.871357
712,2009-12-11,1947.0284199999999
713,2009-12-12,1854.2389920000003
714,2009-12-13,3643.891811
