Date,INDUST_cms,INDUST_cmd
2/23/2010,0.424752699,36698.63319
2/24/2010,0.821188552,70950.69089
2/25/2010,1.047723325,90523.29528
2/26/2010,2.944952047,254443.8569
2/27/2010,1.472476024,127221.9285
2/28/2010,0.651287472,56271.23758
3/1/2010,0.237861512,20551.23464
3/2/2010,0,0
3/3/2010,0,0
3/4/2010,0,0
3/5/2010,0.679604319,58717.81316
3/6/2010,2.378615115,205512.3459
3/7/2010,1.58574341,137008.2306
3/8/2010,0.178396134,15413.42598
3/9/2010,1.812278183,156580.835
3/10/2010,2.237030882,193279.4682
3/11/2010,0.707921165,61164.38866
3/12/2010,0,0
3/13/2010,0,0
3/14/2010,0,0
3/15/2010,0,0
3/16/2010,0,0
3/17/2010,0,0
3/18/2010,0,0
3/19/2010,0,0
3/20/2010,0.141584233,12232.87773
3/21/2010,0.622970625,53824.662
3/22/2010,0,0
3/23/2010,0,0
3/24/2010,0.237861512,20551.23464
3/25/2010,0.538020086,46484.93543
3/26/2010,0.736238012,63610.96424
3/27/2010,0.424752699,36698.63319
3/28/2010,0.453069546,39145.20877
3/29/2010,0,0
3/30/2010,0,0
3/31/2010,0,0
4/1/2010,0,0
4/2/2010,0.12176244,10520.27482
4/3/2010,0.283168466,24465.75546
4/4/2010,0.237861512,20551.23464
4/5/2010,0.011893076,1027.561766
4/6/2010,1.58574341,137008.2306
4/7/2010,2.123763496,183493.1661
4/8/2010,2.378615115,205512.3459
4/9/2010,1.41584233,122328.7773
4/10/2010,1.387525484,119882.2018
4/11/2010,1.189307558,102756.173
4/12/2010,0.453069546,39145.20877
4/13/2010,0.020671298,1786.000147
4/14/2010,0.453069546,39145.20877
4/15/2010,0.396435853,34252.0577
4/16/2010,0.453069546,39145.20877
4/17/2010,0.192554557,16636.71372
4/18/2010,0.050970324,4403.835994
4/19/2010,0,0
4/20/2010,0,0
4/21/2010,0,0
4/22/2010,0,0
4/23/2010,0.339802159,29358.90654
4/24/2010,0.003964359,342.5206176
4/25/2010,0.736238012,63610.96424
4/26/2010,0,0
4/27/2010,0,0
4/28/2010,0,0
4/29/2010,0,0
4/30/2010,0,0
5/1/2010,0.594653779,51378.08651
5/2/2010,0.877822245,75843.84197
